['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
['TCP', '204.178.31.8', 564, '192.168.1.33', 56109]
['TCP', '192.168.1.33', 56109, '204.178.31.8', 564]
